address,lat,lon
"FENAIN, 59179, France",50.367,3.29915
"BEAUVOIS, 59157, France",50.37428,2.23351
"TOUQUET, 62520, France",50.5200083,1.5864532
"AMIENS, 80000, France",49.8905599,2.3081986
"VALENCIENNES, 59300, France",50.3579317,3.5234846
"ARRAS, 62000, France",50.291048,2.7772211
"RAMBOUILLET, 78120, France",48.6452851,1.819207
"MADELEINE, 59110, France",50.654401,3.0733338
"BETHUNE, 62400, France",50.5309351,2.6389115
"WASQUEHAL, 59290, France",50.6691577,3.1312447
"OISY, 59195, France",50.3573514,3.439651
"MER, 62600, France",,
"ORCHIES, 59310, France",50.4745024,3.2425313
"ANDLAU, 67140, France",48.3865215,7.4177354
"SAINT, 59350, France",44.8100795,-0.5982853
"HEM, 59510, France",50.6540895,3.1839429
"WAMBRECHIES, 59118, France",50.6861944,3.0521806
"VILLEREAU, 59530, France",50.2556405,3.6633006
"DUNKERQUE, 59240, France",51.0347708,2.3772525
"BERCK, 62600, France",50.4052576,1.5711617
"PLESSIS, 92350, France",48.7811049,2.2619632
"FOSSEUSE, 60540, France",49.2161091,2.1845974
"PONT, 60700, France",47.1777278,5.3147014
"COMPIEGNE, 60200, France",49.4179497,2.8263171
"CHAMBLY, 60230, France",49.1662774,2.2444986
"BREGY, 60440, France",49.0821378,2.8652767
"VILLENEUVE, 59491, France",46.0212677,4.8370135
"CUCQ, 62780, France",50.4865763,1.6246227
"LILLE, 59800, France",50.6365654,3.0635282
"LILLE, 59000, France",50.6365654,3.0635282
"FONTENAY, 94120, France",49.5601439,0.1837398
"THELLE, 60530, France",49.2242307,2.2859429
"RONCQ, 59223, France",50.7531232,3.1209016
"MONS, 59370, France",50.6428547,3.1093516
"PLESSIS, 60330, France",49.0972552,2.7572516
"COMPIÈGNE, 60200, France",49.4179497,2.8263171
"BÉTHUNE, 62400, France",50.5309351,2.6389115
"LUZARCHES, 95270, France",49.1124996,2.4223849
"TEMPLEUVE, 59242, France",50.5326276,3.1740541
"ÉTAPLES, 62630, France",50.5139552,1.6386252
"CAPPY, 80340, France",49.9273871,2.7574371
"ARMENTIERES, 59280, France",50.6867281,2.882169
"ARMENTIÈRES, 59280, France",50.6867281,2.882169
"ABBEVILLE, 80100, France",50.1060835,1.8337029
"SAINS, 62114, France",50.4473282,2.6833883
"CREIL, 60100, France",49.2607914,2.4733771
"TOURCOING, 59200, France",50.7235038,3.1605714
"SAILLY, 59554, France",50.1928353,3.1783132
"PARPEVILLE, 2240, France",49.7851669,3.5464771
"PUISEUX, 60540, France",49.2158213,2.2373641
"HIRSON, 2500, France",49.9203419,4.0837186
"CAMBRONNE, 60290, France",49.3296219,2.4002726
"ARSY, 60190, France",49.4007288,2.6813639
"BOUCONVILLERS, 60240, France",49.1759267,1.9046927
"PÉRENCHIES, 59840, France",50.6679447,2.9744656
"CAUDRY, 59540, France",50.124391,3.410362
"TRITH, 59125, France",50.3245906,3.4845838
"DUNKERQUE, 59640, France",51.0347708,2.3772525
"HAUBOURDIN, 59320, France",50.6093554,2.9864421
"VERSAILLES, 78000, France",48.8035403,2.1266886
"CHÂTEAU, 2400, France",46.4270854,4.6009595
"SAINT, 60740, France",49.221471,2.45158
"STRASBOURG, 67000, France",48.5851074,7.734301
"DUNKERQUE, 59140, France",51.0304157,2.3685474
"WATTIGNIES, 59139, France",50.5878779,3.0511655
"VECQUEMONT, 80800, France",49.8996135,2.4511121
"MARLY, 2120, France",50.3500747,3.5435909
"CIRY, 2220, France",49.3613,3.46174
"SENLIS, 60300, France",49.2065404,2.5846582
"THIERRY, 2400, France",49.0457362,3.4027111
"MARCQ, 59700, France",50.6767018,3.1043032
"BAROEUL, 59700, France",50.6767018,3.1043032
"QUESNOY, 59890, France",50.7121678,3.0008466
"ROUBAIX, 59100, France",50.6915893,3.1741734
"VER, 60950, France",49.1049353,2.6845895
"ÈME, 75007, France",48.8448633,2.3246122
"BERSÉE, 59235, France",50.4822798,3.1471959
"VILLERS, 2600, France",48.3027,6.1742
"DEAUVILLE, 14800, France",49.3595018,0.0746638
"VERNEUIL, 60550, France",49.273664,2.5188916
"CHANTILLY, 60500, France",49.1931736,2.4636686
"FOUILLOY, 80800, France",49.9008958,2.503611
"MOUY, 60250, France",49.3196544,2.3205165
"PONT, 80115, France",47.1777278,5.3147014
"VÉLIZY, 78140, France",48.7816349,2.2248942
"ANDEVILLE, 60570, France",49.2597,2.16852
"ESCHES, 60110, France",49.2173026,2.1673656
"HEILLY, 80800, France",49.9530151,2.5361721
"LONGUEAU, 80330, France",49.8702523,2.3574279
"SAINT, 80680, France",49.837087,2.3136724
"ORMESSON, 94490, France",48.785641,2.5483998
"BOVES, 80440, France",49.8463524,2.3932912
"CRÉPY, 60800, France",50.4725262,2.2011403
"FLEURINES, 60700, France",49.2598706,2.586169
"BARNEVILLE, 50270, France",49.3815306,-1.7528273
"LILLE, 59260, France",50.6365654,3.0635282
"CHAPELLE, 59930, France",,
"ENNETIÈRES, 59320, France",50.634822,2.9412159
"MOUVAUX, 59420, France",50.7029,3.13689
"REIMS, 51100, France",49.2577886,4.031926
"ASCQ, 59650, France",50.6195154,3.1599434
"CHATOU, 78400, France",48.8897044,2.1573695
"BORNEL, 60540, France",49.1975734,2.2069574
