raw_alt,region,source,titre,prix,surface_m2,rooms,localisation,code_postal,ville
"Maison à vendre 184 000 € 4 pièces 3 chambres 84,6 m² 268 m² de terrain Nord Fenain 59179",Hauts-de-France,logicimmo,,184000.0,84.6,4.0,,,
Maison à vendre - neuf 183 280 € 3 pièces 2 chambres 63 m² dès le 30/09/2027 Beauvois-en-Cambrésis 59157,Hauts-de-France,logicimmo,,183280.0,63.0,3.0,,,
"Appartement à vendre - neuf 540 000 € 2 pièces 1 chambre 47,3 m² 1er étage Littoral Le Touquet-Paris-Plage 62520",Hauts-de-France,logicimmo,,540000.0,47.3,2.0,,,
"Appartement à vendre - neuf 276 000 € 3 pièces 2 chambres 61,8 m² dès le 31/12/2025 Saint Honoré-Jeanne d'Arc Amiens 80000",Hauts-de-France,logicimmo,,276000.0,61.8,3.0,,,
"Maison à vendre - neuf 289 000 € 3 pièces 2 chambres 71,5 m² dès le 31/12/2025 Saint Honoré-Jeanne d'Arc Amiens 80000",Hauts-de-France,logicimmo,,289000.0,71.5,3.0,,,
"Appartement à vendre - neuf 184 773 € 3 pièces 2 chambres 62,3 m² dès le 01/01/2026 Cheminots-Acacias-Faubourg de Lille Valenciennes 59300",Hauts-de-France,logicimmo,,184773.0,62.3,3.0,,,
"Maison à vendre - neuf 339 000 € 4 pièces 3 chambres 85,6 m² dès le 31/12/2025 Saint Honoré-Jeanne d'Arc Amiens 80000",Hauts-de-France,logicimmo,,339000.0,85.6,4.0,,,
"Appartement à vendre - neuf 220 000 € 2 pièces 1 chambre 46,8 m² dès le 31/12/2025 Saint Honoré-Jeanne d'Arc Amiens 80000",Hauts-de-France,logicimmo,,220000.0,46.8,2.0,,,
"Appartement à vendre - neuf 387 300 € 3 pièces 2 chambres 84,6 m² dès le 31/12/2027 Meaulens Saint Gery Arras 62000",Hauts-de-France,logicimmo,,387300.0,84.6,3.0,,,
"Appartement à vendre - neuf 249 800 € 2 pièces 1 chambre 53,1 m² dès le 31/12/2027 Meaulens Saint Gery Arras 62000",Hauts-de-France,logicimmo,,249800.0,53.1,2.0,,,
Maison à vendre 329 000 € 5 pièces 3 chambres 90 m² Rambouillet 78120,Hauts-de-France,logicimmo,,329000.0,90.0,5.0,,,
